제목,등록일,연도,출처,최신판,판수,URL,URL2,계열키
엠폭스 관리지침(제3판),2025.12.18,2025,KDCA게시판+감염병포털,,3,https://www.kdca.go.kr/bbs/kdca/55/309371/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20251218131542258&q_clsfNo=-1,엠폭스관리지침
의원급 의료기관 인플루엔자 의사환자 감시 가이드라인(의료기관용),2025.12.10,2025,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/228322/artclView.do,,의원급의료기관인플루엔자의사환자감시가이드라인
법정감염병 진단검사 통합지침(제4-2판),2025.12.05,2025,KDCA게시판+감염병포털,,7,https://www.kdca.go.kr/bbs/kdca/55/228321/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20251208110516818&q_clsfNo=-1,법정감염병진단검사통합지침
「코로나바이러스감염증-19 재택치료 안내서」,2025.12.03,2025,KDCA게시판,Y,3,https://www.kdca.go.kr/bbs/kdca/55/228320/artclView.do,,코로나바이러스감염증19재택치료서
크로이츠펠트-야콥병(CJ) 안내서,2025.12.02,2025,KDCA게시판,Y,4,https://www.kdca.go.kr/bbs/kdca/55/228319/artclView.do,,크로이츠펠트야콥병서
2025년 법정감염병 진단·신고기준 지침,2025.11.10,2025,KDCA게시판,,3,https://www.kdca.go.kr/bbs/kdca/55/228318/artclView.do,,법정감염병진단신고기준지침
2025년 백신 보관 및 관리 가이드라인(접종기관용) 개정,2025.11.04,2025,KDCA게시판,Y,2,https://www.kdca.go.kr/bbs/kdca/55/228316/artclView.do,,백신보관관리가이드라인
제4판 의료관련감염 집단발생 대응 안내,2025.11.04,2025,KDCA게시판,Y,4,https://www.kdca.go.kr/bbs/kdca/55/228315/artclView.do,,의료관련감염집단발생대응
기후재난 보건응급조사 매뉴얼,2025.11.03,2025,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/228314/artclView.do,,기후재난보건응급조사매뉴얼
코로나바이러스감염증-19 치료제 사용 안내서(제13-2판) 개정 안내,2025.10.28,2025,KDCA게시판,Y,3,https://www.kdca.go.kr/bbs/kdca/55/228313/artclView.do,,코로나바이러스감염증19치료제사용서
