제목,등록일,연도,출처,최신판,판수,URL,URL2,계열키
2019 검역업무 지침,2019.01.11,2019,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227684/artclView.do,,2019검역업무지침
헌혈기록카드 문진항목 판정기준(6차 개정판) 및 안전한 헌혈을 위한 문진 플립북,2019.01.03,2019,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227683/artclView.do,,헌혈기록카드문진항목판정기준안전한헌혈을위한문진플립북
급성 수혈 관련 증상분류 알고리즘,2019.01.03,2019,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227682/artclView.do,,급성수혈관련증상분류알고리즘
수혈 관련 증상 정의,2019.01.03,2019,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227681/artclView.do,,수혈관련증상정의
수혈부작용조사 실무안내서,2019.01.03,2019,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227680/artclView.do,,수혈부작용조사실무서
2019년 HIV/AIDS 관리지침,2018.12.28,2019,KDCA게시판,,14,https://www.kdca.go.kr/bbs/kdca/55/227679/artclView.do,,HIV/AIDS관리지침
2018년 지역사회기반 중증외상조사 원시자료 이용지침서,2021.03.02,2018,KDCA게시판,,2,https://www.kdca.go.kr/bbs/kdca/55/227848/artclView.do,,지역사회기반중증외상조사원시자료이용지침서
질병관리본부 기관생명윤리위원회 표준운영지침_2018년(V5),2019.05.09,2018,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227698/artclView.do,,질병관리본부기관생명윤리위원회표준운영지침
2018년「주요 감염병 매개모기 방제지침」,2019.01.31,2018,KDCA게시판+감염병포털,,3,https://www.kdca.go.kr/bbs/kdca/55/227686/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20190201037695521&q_clsfNo=0,주요감염병매개모기방제지침
2018년 감염성물질 안전수송 지침(2018),2019.01.10,2018,감염병포털,Y,3,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20190110425336855&q_clsfNo=0,,감염성물질안전수송지침
2018 성인 예방접종 안내서,2018.12.21,2018,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227678/artclView.do,,2018성인예방접종서
성인 예방접종 안내서,2018.12.21,2018,감염병포털,Y,1,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20181221539342241&q_clsfNo=0,,성인예방접종서
공중보건 위험소통 표준운영절차(SOP) 개정판(디지털 버전),2018.12.18,2018,KDCA게시판+감염병포털,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227677/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20181221730745249&q_clsfNo=0,공중보건위험소통표준운영절차
결핵검사지침 2,2018.12.13,2018,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227676/artclView.do,,결핵검사지침2
결핵검사지침II,2018.12.13,2018,감염병포털,Y,1,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20181213086056824&q_clsfNo=0,,결핵검사지침II
한국혈액감시체계 운영규정(18.12.10 제정),2018.12.12,2018,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227675/artclView.do,,한국혈액감시체계운영규정
2018년도 생물테러감염병 대비 및 대응지침,2018.10.01,2018,KDCA게시판+감염병포털,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227672/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20181004769760956&q_clsfNo=0,생물테러감염병대비대응지침
2018년도 큐열 관리지침,2018.09.21,2018,KDCA게시판,Y,3,https://www.kdca.go.kr/bbs/kdca/55/227671/artclView.do,,큐열관리지침
2018년도 크로이츠펠트-야콥병(CJD) 안내서,2018.09.21,2018,KDCA게시판+감염병포털,,4,https://www.kdca.go.kr/bbs/kdca/55/227670/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180927741448002&q_clsfNo=0,크로이츠펠트야콥병서
2018년도 브루셀라증 관리지침,2018.09.21,2018,KDCA게시판+감염병포털,Y,3,https://www.kdca.go.kr/bbs/kdca/55/227669/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180927509624482&q_clsfNo=0,브루셀라증관리지침
2018년도 공수병 관리지침,2018.09.21,2018,KDCA게시판+감염병포털,Y,3,https://www.kdca.go.kr/bbs/kdca/55/227668/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180927756905352&q_clsfNo=0,공수병관리지침
"2018년 바이러스성 모기매개감염병 관리지침(황열,뎅기,웨스트,치쿤,지카)",2018.09.18,2018,KDCA게시판,,11,https://www.kdca.go.kr/bbs/kdca/55/227666/artclView.do,,바이러스성모기매개감염병관리지침
2018년도 수막구균성수막염 관리지침,2018.09.12,2018,KDCA게시판,Y,3,https://www.kdca.go.kr/bbs/kdca/55/227665/artclView.do,,수막구균성수막염관리지침
2018년도 레지오넬라증 관리지침,2018.09.12,2018,KDCA게시판,,8,https://www.kdca.go.kr/bbs/kdca/55/227664/artclView.do,,레지오넬라증관리지침
2018년 군중모임 시 감염병관리 가이드라인,2018.09.10,2018,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227663/artclView.do,,군중모임시감염병관리가이드라인
2018-2019절기 인플루엔자 관리지침,2018.09.07,2018,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227662/artclView.do,,20182019절기인플루엔자관리지침
2018년 표본감시감염병 신고안내,2018.08.23,2018,KDCA게시판,Y,3,https://www.kdca.go.kr/bbs/kdca/55/227661/artclView.do,,표본감시감염병신고
2018년 지역사회 통합건강증진사업 안내(아토피 천식 예방관리),2018.08.17,2018,KDCA게시판,,11,https://www.kdca.go.kr/bbs/kdca/55/227660/artclView.do,https://www.kdca.go.kr/bbs/kdca/55/227635/artclView.do,지역사회통합건강증진사업
2018년 에이즈 관련 민간경상보조사업 관리지침,2018.08.09,2018,KDCA게시판,Y,3,https://www.kdca.go.kr/bbs/kdca/55/227659/artclView.do,,에이즈관련민간경상보조사업관리지침
2018년 진드기 매개감염병 관리지침,2018.07.23,2018,감염병포털,,4,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180723064616252&q_clsfNo=0,,진드기매개감염병관리지침
국립중앙인체자원은행 인체자원 관리지침(개정일 20180627),2018.07.20,2018,KDCA게시판,Y,2,https://www.kdca.go.kr/bbs/kdca/55/227658/artclView.do,,국립중앙인체자원은행인체자원관리지침
국립중앙인체자원은행 운영·관리 규정(개정일 20180206),2018.07.20,2018,KDCA게시판,Y,4,https://www.kdca.go.kr/bbs/kdca/55/227657/artclView.do,,국립중앙인체자원은행운영관리규정
설치류 매개감염병 관리지침(2018),2018.07.17,2018,KDCA게시판+감염병포털,,4,https://www.kdca.go.kr/bbs/kdca/55/227651/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180723129769452&q_clsfNo=0,설치류매개감염병관리지침
진드기 매개감염병 관리지침(2018)_재업로드,2018.07.17,2018,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227650/artclView.do,,진드기매개감염병관리지침재업로드
2018년도 수인성 및 식품매개감염병 관리지침,2018.07.17,2018,KDCA게시판+감염병포털,,9,https://www.kdca.go.kr/bbs/kdca/55/227649/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716654144880&q_clsfNo=0,수인성식품매개감염병관리지침
2018년 성홍열 관리지침,2018.07.16,2018,감염병포털,Y,2,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716554798814&q_clsfNo=0,,성홍열관리지침
2018년 엔테로 바이러스 수족구병 관리지침,2018.07.16,2018,감염병포털,,3,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716517349531&q_clsfNo=0,,엔테로바이러스수족구병관리지침
2018년 국가결핵관리지침,2018.07.16,2018,감염병포털,,7,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716363576220&q_clsfNo=0,,국가결핵관리지침
2018년 법정감염병 진단검사 통합지침,2018.07.16,2018,감염병포털,,7,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716329596029&q_clsfNo=0,,법정감염병진단검사통합지침
"2018년 학교,유치원 어린이집 감염병 관리 안내서",2018.07.16,2018,감염병포털,Y,1,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716062808071&q_clsfNo=0,,학교유치원어린이집감염병관리서
2018년도 풍수해 대비 감염병관리 매뉴얼,2018.07.11,2018,KDCA게시판+감염병포털,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227648/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180723468217704&q_clsfNo=0,풍수해대비감염병관리매뉴얼
"2018년도 의료관련감염병(VRSA,CRE)관리지침",2018.07.03,2018,KDCA게시판+감염병포털,,10,https://www.kdca.go.kr/bbs/kdca/55/227647/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716542576822&q_clsfNo=0,의료관련감염병관리지침
2018년도 말라리아 관리 지침,2018.07.02,2018,KDCA게시판+감염병포털,,24,https://www.kdca.go.kr/bbs/kdca/55/227646/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716642266187&q_clsfNo=0,말라리아관리지침
메르스 대응지침[제5-1판],2018.06.30,2018,KDCA게시판+감염병포털,,4,https://www.kdca.go.kr/bbs/kdca/55/227645/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716730763772&q_clsfNo=0,메르스대응지침
"어린이집, 유치원, 학교 감염병 관리 안내서",2018.06.21,2018,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227644/artclView.do,,어린이집유치원학교감염병관리서
2018년도 급성호흡기감염증 관리지침,2018.06.11,2018,KDCA게시판+감염병포털,,2,https://www.kdca.go.kr/bbs/kdca/55/227643/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716345021186&q_clsfNo=0,급성호흡기감염증관리지침
"2018년도 옴, 머릿니 예방 및 관리 안내서",2018.06.11,2018,KDCA게시판+감염병포털,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227642/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716933173588&q_clsfNo=0,옴머릿니예방관리서
2018년도 감염병 관리 사업 지침,2018.05.30,2018,KDCA게시판+감염병포털,,11,https://www.kdca.go.kr/bbs/kdca/55/227641/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180817631606932&q_clsfNo=0,감염병관리사업지침
2018년도 엔테로바이러스 감염증 · 수족구병 관리지침,2018.05.29,2018,KDCA게시판,,8,https://www.kdca.go.kr/bbs/kdca/55/227640/artclView.do,,엔테로바이러스감염증수족구병관리지침
2018년도 안과 감염병 관리지침,2018.05.16,2018,KDCA게시판+감염병포털,Y,2,https://www.kdca.go.kr/bbs/kdca/55/227639/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716440068634&q_clsfNo=0,안과감염병관리지침
2018 국가결핵관리지침 발간,2018.05.15,2018,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227638/artclView.do,,2018국가결핵관리지침발간
[혈액] 응급/대량수혈 표준업무안내서(2018.4 발행),2018.05.11,2018,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227637/artclView.do,,응급/대량수혈표준업무서
2018년 고혈압 당뇨병 등록관리사업 표준 실무지침,2018.04.16,2018,KDCA게시판,,12,https://www.kdca.go.kr/bbs/kdca/55/227636/artclView.do,,고혈압당뇨병등록관리사업표준실무지침
2018년 시도 심뇌혈관질환예방관리사업 안내,2018.04.16,2018,KDCA게시판,,11,https://www.kdca.go.kr/bbs/kdca/55/227634/artclView.do,,시도심뇌혈관질환예방관리사업
2018년 성매개감염병 관리지침(개정안),2018.04.10,2018,KDCA게시판+감염병포털,,12,https://www.kdca.go.kr/bbs/kdca/55/227633/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716593869266&q_clsfNo=0,성매개감염병관리지침
"페스트 대응지침(2018.3, 제1판 각 분권)",2018.04.09,2018,KDCA게시판+감염병포털,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227632/artclView.do,https://www.kdca.go.kr/bbs/kdca/55/227631/artclView.do,페스트대응지침
퇴원손상심층조사 12차 원시자료 이용지침서,2018.03.26,2018,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227630/artclView.do,,퇴원손상심층조사12차원시자료이용지침서
[연구기획과] 정책연구용역사업 운영규정 및 관리안내,2018.03.13,2018,KDCA게시판,Y,3,https://www.kdca.go.kr/bbs/kdca/55/227627/artclView.do,,정책연구용역사업운영규정관리
요로 감염 항생제 사용지침,2018.03.02,2018,KDCA게시판+감염병포털,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227626/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716192127001&q_clsfNo=0,요로감염항생제사용지침
2018년도 예방접종 대상 감염병 관리 지침,2018.02.21,2018,KDCA게시판+감염병포털,,8,https://www.kdca.go.kr/bbs/kdca/55/227625/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716523777107&q_clsfNo=0,예방접종대상감염병관리지침
국가관리대상병원체,2018.02.06,2018,KDCA게시판+감염병포털,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227624/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180822666820814&q_clsfNo=0,국가관리대상병원체
한국생물안전안내서,2018.02.05,2018,KDCA게시판,Y,2,https://www.kdca.go.kr/bbs/kdca/55/227623/artclView.do,,한국생물안전서
2018 검역업무지침,2018.01.31,2018,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227622/artclView.do,,2018검역업무지침
퇴원손상심층조사 10차 원시자료 이용지침서,2018.01.26,2018,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227621/artclView.do,,퇴원손상심층조사10차원시자료이용지침서
퇴원손상심층조사 11차 원시자료 이용지침서,2018.01.26,2018,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227620/artclView.do,,퇴원손상심층조사11차원시자료이용지침서
퇴원손상심층조사 9차 원시자료 이용지침서,2018.01.26,2018,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227619/artclView.do,,퇴원손상심층조사9차원시자료이용지침서
퇴원손상심층조사 8차 원시자료 이용지침서,2018.01.26,2018,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227618/artclView.do,,퇴원손상심층조사8차원시자료이용지침서
2018년도 국가예방접종사업 관리지침(의료기관용),2018.01.22,2018,KDCA게시판,,3,https://www.kdca.go.kr/bbs/kdca/55/227617/artclView.do,https://www.kdca.go.kr/bbs/kdca/55/227616/artclView.do,국가예방접종사업관리지침
희귀질환자 의료비지원사업 보건소 담당자 교육 지침,2018.01.08,2018,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227615/artclView.do,,희귀질환자의료비지원사업보건소담당자교육지침
제1회 희귀질환 극복의 날 안내 지침,2018.01.08,2018,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227614/artclView.do,,제1회희귀질환극복의날지침
법정감염병 실험실검사 의뢰가능 기관 안내서,2018.01.02,2018,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227612/artclView.do,,법정감염병실험실검사의뢰가능기관서
한국 영유아 발달선별검사(K-DST) 개정판 사용지침서,2018.01.02,2018,KDCA게시판,Y,2,https://www.kdca.go.kr/bbs/kdca/55/227611/artclView.do,,한국영유아발달선별검사사용지침서
2018 HIV/AIDS 관리지침,2017.12.19,2018,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227608/artclView.do,,2018HIV/AIDS관리지침
2018년 국가건강검진 검진의사 상담매뉴얼,2017.11.17,2018,KDCA게시판,,2,https://www.kdca.go.kr/bbs/kdca/55/227603/artclView.do,,국가건강검진검진의사상담매뉴얼
2017-2018절기 인플루엔자 국가예방접종 지원사업 관리지침_보건소용,2018.11.28,2017,감염병포털,Y,1,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20181128554416726&q_clsfNo=0,,20172018절기인플루엔자국가예방접종지원사업관리지침보건소용
2017년 검역업무지침,2018.10.10,2017,감염병포털,,9,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20181010233346888&q_clsfNo=0,,검역업무지침
2017 검역업무지침,2018.10.08,2017,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227674/artclView.do,,2017검역업무지침
2017년도 감염병 역학조사 연보,2018.09.18,2017,KDCA게시판,,7,https://www.kdca.go.kr/bbs/kdca/55/227667/artclView.do,,감염병역학조사연보
국립중앙인체자원은행 운영·관리 규정(개정일 20170615),2018.07.20,2017,KDCA게시판,,4,https://www.kdca.go.kr/bbs/kdca/55/227656/artclView.do,,국립중앙인체자원은행운영관리규정
2017년 법정감염병 분류체계 및 신고범위,2018.07.16,2017,감염병포털,,3,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716945297733&q_clsfNo=0,,법정감염병분류체계신고범위
2017년 법정감염병 진단·신고 기준_최종,2018.07.16,2017,감염병포털,Y,1,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716940275875&q_clsfNo=0,,법정감염병진단신고기준최종
2017년 표본감시감염병 신고안내,2018.07.16,2017,감염병포털,,3,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716936246392&q_clsfNo=0,,표본감시감염병신고
2017년 엔테로바이러스 수족구병 관리지침,2018.07.16,2017,감염병포털,,3,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716932705536&q_clsfNo=0,,엔테로바이러스수족구병관리지침
2017년 결핵 진료지침 3판,2018.07.16,2017,감염병포털,Y,1,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716772595949&q_clsfNo=0,,결핵진료지침3판
2017년 한국생물안전안내서,2018.07.16,2017,감염병포털,,2,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716745652061&q_clsfNo=0,,한국생물안전서
2017년 한센사업지침-본문,2018.07.16,2017,감염병포털,Y,1,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716704698159&q_clsfNo=0,,한센사업지침본문
2017년 인플루엔자 관리 가이드라인_어린이집 유치원 학교용,2018.07.16,2017,감염병포털,Y,1,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716611119896&q_clsfNo=0,,인플루엔자관리가이드라인어린이집유치원학교용
2017년 법정감염병 실험실검사 의뢰기관,2018.07.16,2017,감염병포털,Y,1,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716608541400&q_clsfNo=0,,법정감염병실험실검사의뢰기관
2017년 성홍열 집단발생보고 결과보고 양식,2018.07.16,2017,감염병포털,Y,1,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716519199302&q_clsfNo=0,,성홍열집단발생보고결과보고양식
2017년 조류인플루엔자 인체감염 예방 및 관리지침,2018.07.16,2017,감염병포털,Y,5,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716331147571&q_clsfNo=0,,조류인플루엔자인체감염예방관리지침
2017년 유전자재조합실험지침_일부개정,2018.07.16,2017,감염병포털,Y,1,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716299788378&q_clsfNo=0,,유전자재조합실험지침일부
2017년 국가결핵관리지침,2018.07.16,2017,감염병포털,,7,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716141064588&q_clsfNo=0,,국가결핵관리지침
2017년 메르스(MERS) 대응지침,2018.07.16,2017,감염병포털,,4,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716115098166&q_clsfNo=0,,메르스대응지침
2017년 옴니머릿니예방및관리지침,2018.07.16,2017,감염병포털,Y,1,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716106422531&q_clsfNo=0,,옴니머릿니예방관리지침
2017년 인플루엔자 관리지침_최종,2018.07.16,2017,감염병포털,Y,1,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716105452828&q_clsfNo=0,,인플루엔자관리지침최종
2017년 가임기 여성 및 임산부 지카바이러스,2018.07.16,2017,감염병포털,Y,1,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716004346906&q_clsfNo=0,,가임기여성임산부지카바이러스
[혈액] 2017 한국혈액감시체계 운영안내서(2017.9),2018.03.14,2017,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227628/artclView.do,,2017한국혈액감시체계운영서
2017년 희귀질환자 의료비지원사업 안내 지침,2018.01.08,2017,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227613/artclView.do,https://www.kdca.go.kr/bbs/kdca/55/227546/artclView.do,희귀질환자의료비지원사업지침
"피부,연조직 감염 항생제 사용지침",2017.12.29,2017,KDCA게시판+감염병포털,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227610/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716011750442&q_clsfNo=0,피부연조직감염항생제사용지침
지카바이러스 감염증 진단검사지침(제3-1판),2017.12.20,2017,KDCA게시판+감염병포털,Y,2,https://www.kdca.go.kr/bbs/kdca/55/227609/artclView.do,https://www.kdca.go.kr/bbs/kdca/55/227600/artclView.do,지카바이러스감염증진단검사지침
요양시설 인플루엔자 관리 가이드라인,2017.11.30,2017,KDCA게시판+감염병포털,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227606/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716502524314&q_clsfNo=0,요양시설인플루엔자관리가이드라인
보육시설 및 학교 인플루엔자 관리 가이드라인,2017.11.30,2017,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227605/artclView.do,,보육시설학교인플루엔자관리가이드라인
2017 법정감염병 진단 신고기준,2017.11.30,2017,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227604/artclView.do,,2017법정감염병진단신고기준
성인 급성 상기도 감염 항생제 사용지침,2017.11.13,2017,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227602/artclView.do,,성인급성상기도감염항생제사용지침
성인 지역사회획득 폐렴 항생제 사용지침,2017.11.13,2017,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227601/artclView.do,,성인지역사회획득폐렴항생제사용지침
"전수감시 의료관련감염병(VRSA,CRE)_자주묻는질문",2017.10.31,2017,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227599/artclView.do,,전수감시의료관련감염병자주묻는질문
개물림 예방 관리 방법,2017.10.27,2017,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227598/artclView.do,,개물림예방관리방법
에볼라바이러스병 대응지침(제7판),2017.10.20,2017,KDCA게시판+감염병포털,Y,2,https://www.kdca.go.kr/bbs/kdca/55/227597/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716460657497&q_clsfNo=0,에볼라바이러스병대응지침
2017년 인플루엔자 관리지침,2017.09.29,2017,KDCA게시판,,3,https://www.kdca.go.kr/bbs/kdca/55/227595/artclView.do,,인플루엔자관리지침
2017년도 수막구균성수막염 관리지침,2017.09.29,2017,KDCA게시판+감염병포털,,3,https://www.kdca.go.kr/bbs/kdca/55/227594/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180822752686043&q_clsfNo=0,수막구균성수막염관리지침
2017년 성홍열 관리지침,2017.09.27,2017,KDCA게시판,,2,https://www.kdca.go.kr/bbs/kdca/55/227593/artclView.do,,성홍열관리지침
2017 표본감시감염병 신고안내,2017.09.14,2017,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227592/artclView.do,,2017표본감시감염병신고
2017년도 안과 감염병 관리지침,2017.09.11,2017,KDCA게시판+감염병포털,,2,https://www.kdca.go.kr/bbs/kdca/55/227591/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180822405831213&q_clsfNo=0,안과감염병관리지침
2017-2018절기 인플루엔자 국가예방접종 지원사업 관리지침,2017.08.25,2017,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227590/artclView.do,,20172018절기인플루엔자국가예방접종지원사업관리지침
[혈액] 혈액관리업무 점검사항 처리 지침(2017.8 개정),2017.08.21,2017,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227589/artclView.do,,혈액관리업무점검사항처리지침
[혈액] 헌혈자 보호 및 안전에 관한 지침(2017.8 개정),2017.08.21,2017,KDCA게시판,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227588/artclView.do,,헌혈자보호안전에관한지침
2017년도「풍수해(태풍·호우)」감염병 대응 메뉴얼,2017.08.08,2017,KDCA게시판+감염병포털,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227587/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180716738294578&q_clsfNo=0,풍수해감염병대응메뉴얼
