연도,주차,기준일,급,감염병,금주신고수,연누계,5년주별평균,예년대비배수,열부분추출,출처호
2024,14,2024-04-06,2,유행성이하선염,128,1300,203.0,0.63,,17-14
2024,14,2024-04-06,2,풍진,0,0,0.0,,,17-14
2024,14,2024-04-06,2,수막구균 감염증,0,3,0.0,,,17-14
2024,14,2024-04-06,2,폐렴구균 감염증,4,134,9.0,0.44,,17-14
2024,14,2024-04-06,2,한센병,0,1,0.0,,,17-14
2024,14,2024-04-06,2,성홍열,42,548,50.0,0.84,,17-14
2024,14,2024-04-06,2,반코마이신내성황색 포도알균(VRSA) 감염증,0,0,0.0,,,17-14
2024,14,2024-04-06,2,카바페넴내성장내세균목(CRE) 감염증,757,13529,405.0,1.87,,17-14
2024,14,2024-04-06,2,E형간염,4,169,,,,17-14
2024,14,2024-04-06,3,파상풍,0,2,1.0,0.0,,17-14
2024,14,2024-04-06,3,B형간염,0,75,7.0,0.0,,17-14
2024,14,2024-04-06,3,일본뇌염,0,0,0.0,,,17-14
2024,14,2024-04-06,3,C형간염,81,1756,190.0,0.43,,17-14
2024,14,2024-04-06,3,말라리아,0,12,2.0,0.0,,17-14
2024,14,2024-04-06,3,레지오넬라증,3,80,6.0,0.5,,17-14
2024,14,2024-04-06,3,비브리오패혈증,0,0,0.0,,,17-14
2024,14,2024-04-06,3,발진열,1,3,0.0,,,17-14
2024,14,2024-04-06,3,쯔쯔가무시증,12,302,13.0,0.92,,17-14
2024,14,2024-04-06,3,렙토스피라증,0,3,1.0,0.0,,17-14
2024,14,2024-04-06,3,브루셀라증,0,1,0.0,,,17-14
2024,14,2024-04-06,3,신증후군출혈열,0,47,3.0,0.0,,17-14
2024,14,2024-04-06,3,후천성면역결핍증(AIDS),6,152,14.0,0.43,,17-14
2024,14,2024-04-06,3,크로이츠펠트-야콥병(CJD),0,14,1.0,0.0,,17-14
2024,14,2024-04-06,3,뎅기열,2,29,1.0,2.0,,17-14
2024,14,2024-04-06,3,큐열,1,14,1.0,1.0,,17-14
2024,14,2024-04-06,3,라임병,0,1,0.0,,,17-14
