제목,등록일,연도,출처,게시판,최신판,판수,URL,URL2,계열키
2005년 퇴원손상 및 수술통계,2018.11.06,2005,KDCA게시판,교육자료,,3,https://www.kdca.go.kr/bbs/kdca/49/218969/artclView.do,,퇴원손상수술통계
2005년 CJD 표본감시 관리지침,2018.07.10,2005,감염병포털,,,2,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180710257513475&q_clsfNo=0,,CJD표본감시관리지침
감염병발생주보(CDWR) 51주 발간안내,2005.12.28,2005,KDCA게시판,공지사항,Y,2,https://www.kdca.go.kr/bbs/kdca/50/220234/artclView.do,,감염병발생주보51주발간
감염병발생주보(CDWR) 50주 발간안내,2005.12.20,2005,KDCA게시판,공지사항,Y,2,https://www.kdca.go.kr/bbs/kdca/50/220230/artclView.do,,감염병발생주보50주발간
감염병발생주보(CDWR) 49주(월보) 발간안내,2005.12.15,2005,KDCA게시판,공지사항,Y,2,https://www.kdca.go.kr/bbs/kdca/50/220227/artclView.do,,감염병발생주보49주발간
감염병발생주보(CDWR) 47주 발간안내,2005.11.30,2005,KDCA게시판,공지사항,Y,2,https://www.kdca.go.kr/bbs/kdca/50/220216/artclView.do,,감염병발생주보47주발간
감염병발생주보(CDWR) 45주 발간안내,2005.11.15,2005,KDCA게시판,공지사항,Y,2,https://www.kdca.go.kr/bbs/kdca/50/220201/artclView.do,,감염병발생주보45주발간
감염병발생주보(CDWR) 44주(월보) 발간안내,2005.11.08,2005,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/220198/artclView.do,,감염병발생주보44주발간
조류인플루엔자 인체감염 예방 및 관리지침,2005.11.02,2005,KDCA게시판+감염병포털,공지사항,,6,https://www.kdca.go.kr/bbs/kdca/50/220188/artclView.do,https://www.kdca.go.kr/bbs/kdca/55/227180/artclView.do,조류인플루엔자인체감염예방관리지침
감염병발생주보(CDWR) 43주 발간안내,2005.11.01,2005,KDCA게시판,공지사항,Y,2,https://www.kdca.go.kr/bbs/kdca/50/220186/artclView.do,,감염병발생주보43주발간
감염병발생주보(CDWR) 42주 발간안내,2005.10.27,2005,KDCA게시판,공지사항,Y,2,https://www.kdca.go.kr/bbs/kdca/50/220185/artclView.do,,감염병발생주보42주발간
조류인플루엔자 인체감염 예방 및 관리지침 자료실 업로드 안내,2005.10.18,2005,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/220175/artclView.do,,조류인플루엔자인체감염예방관리지침자료실업로드
2005년 HIV/AIDS 관리지침,2005.10.17,2005,KDCA게시판,지침,,15,https://www.kdca.go.kr/bbs/kdca/55/227179/artclView.do,,HIV/AIDS관리지침
05년도 가을철발열성질환 관리지침 및 HIV/AIDS 관리지침 자료실 업로드,2005.10.17,2005,KDCA게시판,공지사항,Y,1,https://www.kdca.go.kr/bbs/kdca/50/220174/artclView.do,,05년도가을철발열성질환관리지침HIV/AIDS관리지침자료실업로드
감염병발생주보(CDWR) 41주 발간안내,2005.10.17,2005,KDCA게시판,공지사항,Y,2,https://www.kdca.go.kr/bbs/kdca/50/220173/artclView.do,,감염병발생주보41주발간
감염병발생주보(CDWR) 40주(월보) 발간안내,2005.10.10,2005,KDCA게시판,공지사항,Y,2,https://www.kdca.go.kr/bbs/kdca/50/220168/artclView.do,,감염병발생주보40주발간
감염병발생주보(CDWR) 39주 발간안내,2005.10.06,2005,KDCA게시판,공지사항,Y,2,https://www.kdca.go.kr/bbs/kdca/50/220167/artclView.do,,감염병발생주보39주발간
감염병발생주보(CDWR) 38주 발간안내,2005.09.28,2005,KDCA게시판,공지사항,Y,2,https://www.kdca.go.kr/bbs/kdca/50/220164/artclView.do,,감염병발생주보38주발간
2005년 비브리오패혈증 관리지침,2005.09.22,2005,KDCA게시판+감염병포털,지침,Y,1,https://www.kdca.go.kr/bbs/kdca/55/227178/artclView.do,https://dportal.kdca.go.kr/pot/bbs/BD_selectBbs.do?q_bbsSn=1001&q_bbsDocNo=20180710932165251&q_clsfNo=0,비브리오패혈증관리지침
감염병발생주보(CDWR) 37주 발간안내,2005.09.21,2005,KDCA게시판,공지사항,Y,2,https://www.kdca.go.kr/bbs/kdca/50/220160/artclView.do,,감염병발생주보37주발간
감염병발생주보(CDWR) 36주(월보) 발간안내,2005.09.13,2005,KDCA게시판,공지사항,Y,2,https://www.kdca.go.kr/bbs/kdca/50/220155/artclView.do,,감염병발생주보36주발간
감염병발생주보(CDWR) 35주 발간안내,2005.09.06,2005,KDCA게시판,공지사항,Y,2,https://www.kdca.go.kr/bbs/kdca/50/220152/artclView.do,,감염병발생주보35주발간
감염병발생주보(CDWR) 34주 발간안내,2005.08.29,2005,KDCA게시판,공지사항,Y,2,https://www.kdca.go.kr/bbs/kdca/50/220149/artclView.do,,감염병발생주보34주발간
감염병발생주보(CDWR) 33주 발간안내,2005.08.24,2005,KDCA게시판,공지사항,Y,2,https://www.kdca.go.kr/bbs/kdca/50/220145/artclView.do,,감염병발생주보33주발간
감염병발생주보(CDWR) 32주 발간안내,2005.08.16,2005,KDCA게시판,공지사항,Y,2,https://www.kdca.go.kr/bbs/kdca/50/220139/artclView.do,,감염병발생주보32주발간
감염병발생주보(CDWR) 31주(월보) 발간안내,2005.08.08,2005,KDCA게시판,공지사항,Y,2,https://www.kdca.go.kr/bbs/kdca/50/220138/artclView.do,,감염병발생주보31주발간
감염병발생주보(CDWR) 30주 발간안내,2005.08.01,2005,KDCA게시판,공지사항,Y,2,https://www.kdca.go.kr/bbs/kdca/50/220130/artclView.do,,감염병발생주보30주발간
