연도,주차,검체수,살모넬라_건수,살모넬라_분리율,병원성대장균_건수,병원성대장균_분리율,세균성이질_건수,세균성이질_분리율,장염비브리오_건수,장염비브리오_분리율,비브리오콜레라_건수,비브리오콜레라_분리율,캄필로박터_건수,캄필로박터_분리율,클로스트리듐퍼프린젠스_건수,클로스트리듐퍼프린젠스_분리율,황색포도알균_건수,황색포도알균_분리율,바실루스세레우스_건수,바실루스세레우스_분리율,합계_건수,합계_분리율,출처호
2024,24,240,10,4.2,12,5.0,0,0.0,0,0.0,0,0.0,2,0.8,10,4.2,4,1.7,8,3.3,46,19.2,17-26
2024,25,177,8,4.5,11,6.2,0,0.0,0,0.0,0,0.0,1,0.6,2,1.1,1,0.6,9,5.1,32,18.1,17-26
2024,26,291,9,3.1,22,7.6,0,0.0,0,0.0,0,0.0,3,1.0,4,1.4,6,2.1,10,3.4,55,18.9,17-30
2024,27,251,13,5.2,12,4.8,0,0.0,0,0.0,0,0.0,4,1.6,6,2.4,6,2.4,3,1.2,44,17.5,17-30
2024,28,230,3,1.3,23,10.0,0,0.0,0,0.0,0,0.0,4,1.7,5,2.2,2,0.9,6,2.6,43,18.7,17-30
2024,29,205,9,4.4,18,8.8,0,0.0,0,0.0,0,0.0,3,1.5,5,2.4,3,1.5,8,3.9,46,22.4,17-30
2024,30,247,13,5.3,23,9.3,0,0.0,0,0.0,0,0.0,1,0.4,3,1.2,2,0.8,6,2.4,49,19.8,17-34
2024,31,260,10,3.8,24,9.2,0,0.0,0,0.0,0,0.0,8,3.1,4,1.5,2,0.7,5,1.9,53,20.4,17-34
2024,32,248,10,4.0,23,9.3,0,0.0,0,0.0,0,0.0,1,0.4,4,1.6,5,2.0,6,2.4,50,20.2,17-36
2024,33,217,13,6.0,23,10.6,0,0.0,0,0.0,1,0.5,0,0.0,1,0.5,5,2.3,8,3.7,52,24.0,17-36
2024,34,242,12,5.0,18,7.4,0,0.0,0,0.0,0,0.0,5,2.1,5,2.1,4,1.7,8,3.3,52,21.5,17-36
2024,35,223,12,5.4,27,12.1,0,0.0,0,0.0,0,0.0,3,1.3,4,1.8,4,1.8,12,5.4,62,27.8,17-38
2024,36,235,10,4.3,17,7.2,0,0.0,1,0.4,0,0.0,2,0.8,3,1.3,3,1.3,5,2.1,41,17.4,17-38
2024,37,195,5,2.6,12,6.2,0,0.0,0,0.0,0,0.0,0,0.0,4,2.1,2,1.0,3,1.5,26,13.3,17-38
2024,38,119,8,6.7,6,5.0,0,0.0,0,0.0,0,0.0,1,0.8,0,0.0,1,0.8,0,0.0,16,13.4,17-38
2024,39,225,24,10.7,29,12.9,0,0.0,1,0.4,0,0.0,2,0.9,2,0.9,7,3.1,3,1.3,68,30.2,17-42
2024,40,213,7,3.3,17,8.0,0,0.0,1,0.5,0,0.0,1,0.5,5,2.3,4,1.9,10,4.7,45,21.1,17-42
2024,41,192,13,6.8,11,5.7,0,0.0,0,0.0,0,0.0,2,1.0,4,2.1,6,3.1,4,2.1,40,20.8,17-42
2024,42,158,6,3.8,6,3.8,0,0.0,0,0.0,0,0.0,2,1.3,4,2.5,6,3.8,6,3.8,30,19.0,17-42
2024,43,185,10,5.4,7,3.8,0,0.0,0,0.0,0,0.0,3,1.6,3,1.6,7,3.8,5,2.7,35,18.9,17-46
2024,44,192,4,2.1,7,3.6,0,0.0,0,0.0,0,0.0,4,2.1,5,2.6,6,3.1,3,1.6,29,15.1,17-46
2024,45,196,3,1.5,6,3.1,0,0.0,0,0.0,0,0.0,2,1.0,2,1.0,6,3.1,3,1.5,22,11.2,17-46
2024,46,182,5,2.7,3,1.6,0,0.0,1,0.5,0,0.0,0,0.0,3,1.6,2,1.1,0,0.0,14,7.7,17-46
2024,47,220,1,0.5,10,4.5,0,0.0,1,0.5,0,0.0,1,0.5,4,1.8,5,2.3,2,0.9,24,10.7,17-50
2024,48,237,3,1.3,12,5.1,0,0.0,0,0.0,0,0.0,1,0.4,6,2.5,4,1.7,1,0.4,27,11.4,17-50
2024,49,210,4,1.9,6,2.9,0,0.0,0,0.0,0,0.0,1,0.5,4,1.9,1,0.5,5,2.4,21,10.0,18-2
2024,50,224,2,0.9,9,4.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.9,3,1.3,6,2.7,22,9.8,18-2
2024,51,188,1,0.5,6,3.2,0,0.0,0,0.0,0,0.0,1,0.5,1,0.5,5,2.7,2,1.1,16,8.5,18-2
2024,52,144,1,0.7,5,3.5,0,0.0,0,0.0,0,0.0,0,0.0,3,2.1,2,1.4,1,0.7,12,8.3,18-2
2025,2,220,2,0.9,4,1.8,0,0.0,0,0.0,0,0.0,0,0.0,2,0.9,2,0.9,2,0.9,13,5.9,18-6
2025,3,263,6,2.3,5,1.9,0,0.0,0,0.0,0,0.0,0,0.0,8,3.0,7,2.7,4,1.5,31,11.8,18-6
2025,4,292,1,0.3,6,2.1,0,0.0,0,0.0,0,0.0,0,0.0,7,2.4,8,2.7,3,1.0,25,8.6,18-6
2025,5,164,1,0.6,2,1.2,0,0.0,0,0.0,0,0.0,2,1.2,3,1.8,6,3.7,1,0.6,15,9.1,18-6
2025,6,265,0,0.0,4,1.5,0,0.0,0,0.0,0,0.0,1,0.4,4,1.5,9,3.4,2,0.8,20,7.5,18-10
2025,7,262,2,0.8,8,3.1,0,0.0,0,0.0,0,0.0,2,0.8,3,1.1,9,3.4,8,3.1,32,12.2,18-10
2025,8,259,3,1.2,5,1.9,0,0.0,0,0.0,0,0.0,1,0.4,1,0.4,3,1.2,1,0.4,14,5.4,18-10
2025,9,227,2,0.9,6,2.6,0,0.0,0,0.0,0,0.0,1,0.4,1,0.4,4,1.8,5,2.2,19,8.4,18-10
2025,10,257,8,3.1,5,1.9,0,0.0,0,0.0,0,0.0,0,0.0,3,1.2,5,1.9,6,2.3,27,10.5,18-14
2025,11,263,5,1.9,3,1.1,0,0.0,0,0.0,0,0.0,0,0.0,3,1.1,10,3.8,4,1.5,25,9.5,18-14
2025,12,255,3,1.2,9,3.5,0,0.0,0,0.0,0,0.0,1,0.4,2,0.8,8,3.1,0,0.0,23,9.0,18-14
2025,13,202,2,1.0,7,3.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,3.0,1,0.5,16,7.9,18-14
