ISO3,국가,지역,직항도착여객(환승제외),환승여객,도착편수,외국인입국자(국적),검역관리지역_종수,중점_종수,유입신고_건수,유입신고_질병,건수_백만직항여객당,건수_백만입국자당,국적/노선비
PYF,프랑스령폴리네시아,오세아니아,,,,,1,0,0,,,,
QAT,카타르,아시아,325378,7859,1014,5657,2,1,0,,0.0,0.0,0.02
REU,레위니옹,아프리카,,,,,2,0,0,,,,
ROU,루마니아,유럽,,,,48830,1,0,0,,,0.0,
RUS,러시아,유럽,2486,0,9,583139,1,0,4,C형간염(3); 수두(1),1609.01,6.86,234.57
RWA,르완다,아프리카,,,,2370,4,1,0,,,0.0,
SAU,사우디아라비아,아시아,10549,291,79,53589,2,1,0,,0.0,0.0,5.08
SDN,수단,아프리카,533,0,4,1148,5,0,0,,0.0,0.0,2.15
SEN,세네갈,아프리카,,,,1303,5,0,1,말라리아(1),,767.46,
SGP,싱가포르,아시아,2793817,124444,12727,1002396,2,0,2,말라리아(1); 수두(1),0.72,2.0,0.36
SLB,솔로몬 제도,오세아니아,,,,443,1,0,0,,,0.0,
SLE,시에라리온,아프리카,,,,367,3,0,0,,,0.0,
SLV,엘살바도르,아메리카,,,,3133,3,0,0,,,0.0,
SMR,산마리노,유럽,,,,76,0,0,0,,,0.0,
SOM,소말리아,아프리카,,,,119,4,0,0,,,0.0,
SRB,세르비아,유럽,,,,10282,1,0,0,,,0.0,
SSD,남수단,아프리카,,,,163,5,1,6,말라리아(6),,36809.82,
STP,상투메프린시페,아프리카,,,,32,0,0,0,,,0.0,
SUR,수리남,아메리카,,,,279,3,0,0,,,0.0,
SVK,슬로바키아,유럽,,,,13907,0,0,0,,,0.0,
SVN,슬로베니아,유럽,,,,6697,0,0,0,,,0.0,
SWE,스웨덴,유럽,565,0,2,67206,0,0,0,,0.0,0.0,118.95
SWZ,에스와티니,아프리카,,,,581,0,0,0,,,0.0,
SXM,신트마르턴,아메리카,,,,,1,0,0,,,,
SYC,세이셸,아프리카,,,,261,2,0,0,,,0.0,
SYR,시리아,아시아,,,,6639,3,1,0,,,0.0,
TCA,터크스케이커스,아메리카,,,,,1,0,0,,,,
TCD,차드,아프리카,,,,90,5,0,0,,,0.0,
TGO,토고,아프리카,,,,410,4,0,0,,,0.0,
THA,태국,아시아,4934962,494632,25180,887778,4,0,18,매독(1기)(5); 매독(잠복)(5); 매독(2기)(4); 뎅기열(3); 수두(1),3.65,20.28,0.18
TJK,타지키스탄,아시아,,,,17840,1,0,0,,,0.0,
TKL,토켈라우,오세아니아,,,,6,1,0,0,,,0.0,
TKM,투르크메니스탄,아시아,7426,38,55,4403,0,0,0,,0.0,0.0,0.59
TLS,동티모르,아시아,,,,5235,1,0,0,,,0.0,
TON,통가,오세아니아,,,,389,1,0,0,,,0.0,
TTO,트리니다드토바고,아메리카,,,,1815,2,0,0,,,0.0,
TUN,튀니지,아프리카,,,,8634,1,0,0,,,0.0,
TUR,터키,아시아,722115,23087,2561,157028,2,0,0,,0.0,0.0,0.22
TUV,투발루,오세아니아,,,,213,1,0,0,,,0.0,
TWN,대만,아시아,7317170,105556,37147,4857566,1,0,2,뎅기열(1); 매독(1기)(1),0.27,0.41,0.66
TZA,탄자니아,아프리카,,,,5378,5,0,3,말라리아(1); 세균성이질(1); 장출혈성대장균감염증(1),,557.83,
UGA,우간다,아프리카,,,,2648,6,1,2,말라리아(2),,755.29,
UKR,우크라이나,유럽,,,,63273,1,0,0,,,0.0,
URY,우루과이,아메리카,,,,3035,1,0,0,,,0.0,
USA,미국,아메리카,4884889,2971840,29089,4015654,5,2,5,매독(2기)(1); 매독(1기)(1); 성홍열(1); 유행성이하선염(1); C형간염(1),1.02,1.25,0.82
UZB,우즈베키스탄,아시아,358639,43860,1930,188900,1,0,2,홍역(1); C형간염(1),5.58,10.59,0.53
VAT,교황청,유럽,,,,24,0,0,0,,,0.0,
VCT,세인트빈센트그레나딘,아메리카,,,,377,1,0,0,,,0.0,
VEN,베네수엘라,아메리카,,,,5748,1,0,0,,,0.0,
VGB,영국령버진아일랜드,아메리카,,,,,1,0,0,,,,
VIR,미국령버진아일랜드,아메리카,,,,,1,0,0,,,,
VNM,베트남,아시아,12880150,677165,68674,1628758,2,0,29,뎅기열(10); 수두(7); 홍역(3); 유행성이하선염(2); 매독(2기)(2); 매독(1기)(2); 세균성이질(1); 백일해(1); 매독(3기)(1),2.25,17.8,0.13
VUT,바누아투,오세아니아,,,,822,1,0,0,,,0.0,
WLF,왈리스푸투나,오세아니아,,,,,1,0,0,,,,
WSM,사모아,오세아니아,,,,916,1,0,0,,,0.0,
XKX,코소보,유럽,,,,432,0,0,0,,,0.0,
YEM,예멘,아시아,,,,2703,4,1,1,매독(잠복)(1),,369.96,
ZAF,남아프리카공화국,아프리카,,,,48613,1,0,3,매독(1기)(1); 매독(잠복)(1); 파라티푸스(1),,61.71,
ZMB,잠비아,아프리카,,,,1051,3,0,0,,,0.0,
ZWE,짐바브웨,아프리카,,,,7922,1,0,0,,,0.0,
